step,tokens_seen,train_loss,val_ppl,tps,vram_mb
50,204800,5.5879,N/A,1958.75,3290.88
100,409600,4.3357,N/A,2242.39,3290.88
150,614400,3.9334,N/A,2057.66,3290.88
200,819200,3.7985,N/A,2288.42,3290.88
250,1024000,3.6437,N/A,2230.88,3290.88
300,1228800,3.4486,N/A,2244.65,3290.88
350,1433600,3.3896,N/A,2166.38,3290.88
400,1638400,3.3018,N/A,2213.01,3290.88
450,1843200,3.3142,N/A,2277.00,3290.88
489,2002944,3.2694,28.4927,2292.76,3290.88
500,2048000,2.9525,N/A,1681.55,3290.88
550,2252800,3.2012,N/A,1867.69,3290.88
600,2457600,3.0443,N/A,2137.59,3290.88
650,2662400,3.3505,N/A,2104.18,3290.88
700,2867200,2.9684,N/A,2027.80,3290.88
750,3072000,2.9912,N/A,2232.66,3290.88
800,3276800,2.9367,N/A,1594.15,3290.88
850,3481600,3.1780,N/A,1599.53,3290.88
900,3686400,2.9738,N/A,1657.69,3290.88
950,3891200,2.9497,N/A,1697.90,3290.88
978,4005888,3.0011,19.8737,2209.68,3290.88
1000,4096000,2.6764,N/A,2070.61,3290.88
1050,4300800,2.8537,N/A,2248.18,3290.88
1100,4505600,2.9561,N/A,2262.42,3290.88
1150,4710400,2.9150,N/A,2284.26,3290.88
1200,4915200,2.9186,N/A,2287.21,3290.88
1250,5120000,2.8111,N/A,2193.46,3290.88
1300,5324800,2.9442,N/A,2235.07,3290.88
1350,5529600,2.9179,N/A,2207.31,3290.88
1400,5734400,2.7514,N/A,2267.38,3290.88
1450,5939200,2.9701,N/A,2278.01,3290.88
1467,6008832,2.6539,16.5001,2210.52,3290.88
1500,6144000,2.7628,N/A,2224.68,3290.88
1550,6348800,2.6794,N/A,2250.11,3290.88
1600,6553600,2.5715,N/A,2255.60,3290.88
1650,6758400,2.6629,N/A,1955.75,3290.88
1700,6963200,2.8832,N/A,2251.13,3290.88
1750,7168000,2.6789,N/A,2110.69,3290.88
1800,7372800,2.7288,N/A,2267.88,3290.88
