step,tokens_seen,train_loss,val_ppl,tps,vram_mb,elapsed_seconds,lr
50,204800,284.5848,N/A,67830.60,825.92,8.66,0.00012750
100,409600,83.8565,N/A,66820.35,825.92,12.23,0.00025250
150,614400,18.9256,N/A,62120.09,825.92,15.81,0.00037750
200,819200,12.7892,N/A,60576.12,825.92,19.70,0.00050000
250,1024000,9.3447,N/A,66404.95,825.92,23.67,0.00049988
300,1228800,7.2813,N/A,66078.57,825.92,27.26,0.00049952
350,1433600,6.2683,N/A,58647.27,825.92,30.96,0.00049892
400,1638400,5.5793,N/A,67512.22,825.92,34.85,0.00049808
450,1843200,5.1950,N/A,65863.14,825.92,38.43,0.00049699
489,2002944,4.9673,144.6942,67055.59,825.92,41.25,0.00049599
500,2048000,4.3359,N/A,66660.03,825.92,45.40,0.00049568
550,2252800,4.6855,N/A,66769.05,825.92,48.99,0.00049412
600,2457600,4.3907,N/A,67751.29,825.92,52.73,0.00049233
650,2662400,4.7586,N/A,56019.66,825.92,56.63,0.00049031
700,2867200,4.1860,N/A,64566.12,825.92,60.40,0.00048806
750,3072000,4.1594,N/A,66493.99,825.92,64.00,0.00048558
800,3276800,4.0458,N/A,57332.88,825.92,67.74,0.00048287
850,3481600,4.2933,N/A,62513.03,825.92,71.75,0.00047994
900,3686400,4.0182,N/A,64983.95,825.92,75.46,0.00047680
950,3891200,3.9634,N/A,65247.83,825.92,79.14,0.00047343
978,4005888,4.0402,54.2527,54284.39,825.92,81.47,0.00047146
1000,4096000,3.6129,N/A,63952.93,825.92,86.00,0.00046986
1050,4300800,3.7975,N/A,62940.58,825.92,89.69,0.00046607
1100,4505600,3.9166,N/A,52968.60,825.92,93.61,0.00046208
1150,4710400,3.8390,N/A,65464.31,825.92,97.37,0.00045789
1200,4915200,3.8238,N/A,55950.32,825.92,101.10,0.00045350
1250,5120000,3.7087,N/A,58019.78,825.92,104.99,0.00044893
1300,5324800,3.8304,N/A,63620.00,825.92,108.98,0.00044416
1350,5529600,3.7479,N/A,64640.95,825.92,112.70,0.00043922
1400,5734400,3.5626,N/A,42754.23,825.92,116.46,0.00043410
1450,5939200,3.8398,N/A,64079.59,825.92,120.78,0.00042881
1467,6008832,3.4562,43.7532,62447.73,825.92,122.05,0.00042697
1500,6144000,3.5482,N/A,63483.97,825.92,127.67,0.00042335
1550,6348800,3.4355,N/A,63359.22,825.92,131.88,0.00041774
1600,6553600,3.3167,N/A,60032.85,825.92,135.81,0.00041197
1650,6758400,3.4014,N/A,63142.84,825.92,139.63,0.00040606
1700,6963200,3.6312,N/A,63145.30,825.92,144.00,0.00040000
1750,7168000,3.4001,N/A,54441.33,825.92,147.85,0.00039382
1800,7372800,3.4549,N/A,61860.37,825.92,151.71,0.00038750
